review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
80e641a11e56f04c1ad469d5645fdfde,a548910a1c6147796b98fdf73dbeba33,5,,,2018-03-10 00:00:00,2018-03-11 03:05:13
228ce5500dc1d8e020d8d1322874b6f0,f9e4b658b201a9f2ecdecbb34bed034b,5,,,2018-02-17 00:00:00,2018-02-18 14:36:24
eb26c2bfb5030f57dcef30d3f111eb1e,88096595631e8d26b658306256e3ce34,1,,,2018-02-08 00:00:00,2018-02-10 04:28:43
ca7402594d96f3231ee1bbae27da1e29,36782087b0d4f8cd6daa340872006259,5,,,2018-02-20 00:00:00,2018-02-21 01:40:57
4d36f8266245b00faebc520e9cd963c0,b1cc044d321053348a5e482ca7e6b2e3,2,,,2018-03-17 00:00:00,2018-03-17 09:29:47
ff722b4c68783a4459a3adb9bb4e1d0d,b8702f50a689621ab21ef200b55a5b8d,3,,"Produto chegou, mas meu PC não conseguiu reconhecer as portas USB.",2018-01-16 00:00:00,2018-01-18 23:25:29
4ada105731802020d66105508076cb49,6f393015477564624446a2b4c948c0f0,3,,,2018-02-01 00:00:00,2018-02-01 06:26:39
e75a1e7f0e95d5eb41f6e6fa7c560821,9fbfe9199f9a0440a9f57f31c57ccc21,3,,,2018-01-23 00:00:00,2018-01-24 20:42:15
deb6f26fd2c11c556bc9245fd9203469,997cd0cc21c4cc23cf4b07c4f53834db,4,,Atendeu minha expectativa.,2018-02-24 00:00:00,2018-02-25 11:02:05
b3df5ccdfff218d039dd166e3da759f5,33fb6b947580ee29bd0c6babed6049c1,2,,Foi marcado o dia 14/02 para entrega do pedido e no rastreamento marcava que o produto já havia sido entregue na data mas na realidade não foi entregue. O produto só foi entregue no dia 28/02.,2018-03-01 00:00:00,2018-03-04 21:45:00
036bac7dcf336feff8ee82009a67b01d,a7798126c7238a769777af04c3d19e71,5,,,2018-02-28 00:00:00,2018-03-02 01:26:28
f55ac350831de6694d569e9c0176dacd,92cd4be4e992be4ab03304531ce6c5f9,1,,E muito desordenado comprei três produtos mais não veio no dia sertões veio separado e em data separada ,2018-01-31 00:00:00,2018-02-01 02:12:01
d126b51cf6665c5a873f58a1a8fe0f2e,1266cc122d380586b104c2f5380f1210,5,,,2018-02-02 00:00:00,2018-02-03 19:22:42
f677a419ee4910ae12bf8cb73dc0d332,7368e14d8b9e7b886e433697b89e937c,3,,Faltaram os cabos e o manual,2018-02-27 00:00:00,2018-03-02 00:24:24
72d7f0156c76c07c3dc9f9e04bf543d9,3dd70a36f5f41e56af19f4948fdc0745,4,,,2018-01-13 00:00:00,2018-01-16 11:36:32
af41ee42a3e2dc767023449fda6c12fa,762955db358210db24103ff9ce1ddda7,1,,"Última vez que compro pois hoje vai fazer 1 mês que fiz a comprar e nada, e se demorar mas tempo de entregar estarei procurando meus direitos contra as lojas lannister e a targaryen.",2018-03-21 00:00:00,2018-03-21 15:32:51
5d1dc174150fb6b247ffbceb2090f077,28dee43776d6b4f40164b3dfabb8abe8,4,,,2018-02-08 00:00:00,2018-02-10 22:17:29
a85be88fe0344d5fde7ac7a89d7a3f85,df14f6645d1232e2c0e88fd8566e0a87,5,,,2018-01-16 00:00:00,2018-01-23 00:42:26
2b7988978d952d5aa576c37fdbd583fe,edcaded448abfc7302a12be6f10cbdec,4,,,2018-02-27 00:00:00,2018-02-28 00:51:45
72093b147d797e6abbdf569bf07bf57f,e996c39018a2d8a9e46fbbbbb10ee3a7,5,,Toalha do maior campeão do Brasil maravilhosa ,2018-01-31 00:00:00,2018-02-01 02:08:00
67c79a3a4b7d8e4fc8590fb8ca4d3f8a,6b5c527f8d210097a9cfaddd7bf4ec94,5,,"O produto foi entregue antes do prazo.
",2018-01-10 00:00:00,2018-01-11 12:12:05
d92b28e1533de65ba31b2d6756a72faf,a45f5764071ee5b932d1f802e18bafcf,5,,Ótimo serviço,2018-01-23 00:00:00,2018-01-24 23:37:36
1a04e92b8fa81f25ee670c02c1f15991,ab07b6c48672e9876b9f11c746d98d3e,5,,,2018-02-15 00:00:00,2018-02-19 14:09:18
1cad212e3e316a6e08a196441003bd3b,3ce23ec58b30f84a32003c7bf535d14f,5,,,2018-03-02 00:00:00,2018-03-02 22:25:26
a425fade0a366210ed595648f21cb93d,efe03a561138a005da4b1e37d1b2ef36,5,,muito bom o produto.Recomendo,2018-02-24 00:00:00,2018-02-25 13:53:06
d2b2e7612330948a735af300611bb922,e77b736410809924bdd6ceea09559cfb,3,,"O aparelho chegou apresentando defeito, não está apresentando todas as funções no visor digital.",2018-02-16 00:00:00,2018-02-18 22:53:40
afbb31d9903a484844c6968cf4600ff3,6ea5512a5c86fbad911fe650286caa81,1,,,2018-03-22 00:00:00,2018-03-22 10:07:49
ca8e5e40f55fbffaa631de686b627dde,bce7047b261dd5116e87384f4fe9afc1,5,,,2018-02-22 00:00:00,2018-02-23 17:32:41
586fc508588a60e529e2c8a234f9771c,dc4e9e7d17fec4c4ded41724619a1b10,5,,,2018-02-15 00:00:00,2018-02-15 22:57:45
b200a329d942243a5c63cbfb6f1dd7e8,7d147963db91d7f73bfb2c6a89516682,4,,,2018-02-28 00:00:00,2018-03-04 19:37:40
1c0a2e60f8bdbed3b6d6a09ec379f006,2c1ccd5d927cd108ebbdf62741bf5dc7,5,,,2018-01-23 00:00:00,2018-01-23 22:22:31
c6efaad58db24d7893e80870315ffd88,1ca14127ecae7a3d413ed6b2f2447d44,5,,,2018-03-07 00:00:00,2018-03-12 18:14:42
ca9e2ad6a3c9afc90a32922f4c0e17e7,53c76273765484d43a78ad7375d2298b,5,,,2018-02-17 00:00:00,2018-02-19 10:18:24
21da84a2bc0bde257426dcddc95d931b,ce7be36d78630d654873b810b8d354f4,5,,"Muito linda deu um charme na minha sala.
",2018-01-10 00:00:00,2018-01-14 17:34:28
fe9778f8b352bd1bc3dab595fde6569b,60649d0d9e4157baeb059b34cf7d9b42,5,,"Produto entregue bem embalado ,em perfeitas condições. ",2018-02-17 00:00:00,2018-02-17 11:32:58
