customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
18955e83d337fd6b2def6b18a428ac77,290c77bc529b7ac935b93aa66c333dc3,09790,sao bernardo do campo,SP
fd826e7cf63160e536e0908c76c3f441,addec96d2e059c80c30fe6871d30d177,04534,sao paulo,SP
206f3129c0e4d7d0b9550426023f0a08,21f748a16f4e1688a9014eb3ee6fa325,13412,piracicaba,SP
f681356046d9fde60e70c73a18d65ea2,5f102dd37243f152aec3607970aad100,09121,santo andre,SP
a9b0d1c26105279e1b8edc63d06bd668,3d49f4455a3947c8dd7e972b3ad8cb76,05017,sao paulo,SP
f6529ffebe6b3440d45d89604a4239ac,e5dbefdfdf3eff75c8e6cd655f128279,26272,nova iguacu,RJ
9d46b89032f34a48706407829dbb55b5,8dc17b53543ee0ff19970896cfc6c750,79130,rio brilhante,MS
852947b57caab58c544343592f5e06d2,4f6d635ff2fd4e30ff5369a7b943eb22,08340,sao paulo,SP
5e24c55ef0779a3c578d272ff7c3d4fb,226c621e6babfecac4e9e776382c77aa,97340,sao sepe,RS
314ec9cbe156ddd9cdaa1a9bf021e00e,691d75928efd2c5dd34b678f19783c28,54430,jaboatao dos guararapes,PE
6b4a545e81c747a0f12ec50d9f725d63,533959cf0ee1554e269d8cc79f12a7d1,18900,santa cruz do rio pardo,SP
265655cf1f2dfd4fc630004d1fe5f3cb,fc0a9229ea43fea6c9f9d79c06761a1e,13185,hortolandia,SP
67a28655b804d6a418964f3dd4e214bc,d10582c312d1c3a03ed8ea136273c54d,29101,vila velha,ES
8bbcf9a0717a1cb212b45522ef61972c,3078dfe83b099ae6ebe055be3abe0c0d,73035,brasilia,DF
3ba47b09546c2da91ef141efce2d5888,b8c37ee810b38c416022e1c9f51e740c,32140,contagem,MG
32a49c42e4bc78e6453e53c6719f6196,26c62200e28fe391637570bea7abd9c5,20550,rio de janeiro,RJ
7d81b5f1ff0e0a22a9496943f1df6cbd,2aa9325eab1676f4d62830f004d67a34,12233,sao jose dos campos,SP
d6d14552ae24882f995122185c4c9b1b,f1acc2f42f829576480ec437ff5e236e,36881,muriae,MG
9cec617fc8c3c3bce39b8133c29efad9,fa2f184ba76dabae9b5cd4c5f711b228,52120,recife,PE
46d2e019708c24dcdd7876d13010570b,912a41ed4b2200e0ac7b5ea1ef1c433b,04571,sao paulo,SP
c7a3d38f91df1c3b930e3c8ac667868c,223ab530d4126650969ce8bc7370a21b,16700,guararapes,SP
4b8a694f92f4bc42833eccf7d1be0502,f2b73529bb775e473cdeb67d991cc985,15775,santa fe do sul,SP
54219e2e76f6a2c60768ffad1ef081d6,3a73ce6fc3b392e1ca609b5548418c36,59063,natal,RN
7cc2f5bfeab9cbfdf0e4b9d29a35e898,0d2fe5cee9cab31429efc0da96406758,01526,sao paulo,SP
9690ae359573ddb7eb6ccb02ba8ec568,c3d1d99aa10c2e90ceb77c2197e1ae16,12246,sao jose dos campos,SP
a43e0f37cf24e9449489d65aea6daedb,3e41c85ccb429fd9a03422dc9f0c18a1,38408,uberlandia,MG
