seller_id,seller_zip_code_prefix,seller_city,seller_state
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR
8bd0f31cf0a614c658f6763bd02dea69,01222,sao paulo,SP
d2e753bb80b7d4faa77483ed00edc8ca,45810,porto seguro,BA
2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,SP
116ccb1a1604bc88e4d234a8c23f33de,09850,sao bernardo do campo,SP
430315b7bb4b6e4b3c978f9dfa9b0558,04857,sao paulo,SP
d9a84e1403de8da0c3aa531d6d108ba6,03562,sao paulo,SP
9c690ceacd5c66731bf443ea810195cb,37650,camanducaia,MG
1f9ab4708f3056ede07124aad39a2554,17602,tupa,SP
ec2e006556300a79a5a91e4876ab3a56,03445,sao paulo,SP
b2a6d334e2833acea353624840e25a0e,04133,sao paulo,SP
768de2a4fc06aacecb9a586ccc30746a,70645,brasilia,DF
8444e55c1f13cd5c179851e5ca5ebd00,37584,congonhal,MG
41ab63a91b8b264e8c8780368bf1dd5b,31555,belo horizonte,MG
0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,SP
ef990a83bbea832f36ebe81376335aa8,89214,joinville,SC
13c2ed7698b3ca92dad49e849219da59,84010,ponta grossa,PR
02ecc2a19303f05e59ce133fd923fff7,09121,santo andre,SP
2d50d6282f8aa2257819a77bfaa0efe0,14940,ibitinga,SP
b90e891671cffd9557f33a97dc523645,83010,sao jose dos pinhais,PR
a416b6a846a11724393025641d4edd5e,03702,sao paulo,SP
7e93a43ef30c4f03f38b393420bc753a,06429,barueri,SP
ef506c96320abeedfb894c34db06f478,03569,sao paulo,SP
7299e27ed73d2ad986de7f7c77d919fa,38440,araguari,MG
8a9260f2b0340411d6d2a56bcf4f7378,32180,contagem,MG
b2479f944e1b90cf8a5de1bbfde284d6,14940,ibitinga,SP
7722b1df1b0e383e000397b2c11e3e19,09715,sao bernardo do campo,SP
bba3293d6f5d5af2f415e004e8b93ae3,04726,sao paulo,SP
4e7c18b98d84e05cbae3ff0ff03846c2,14882,jaboticabal,SP
d650b663c3b5f6fb392b6326366efa9a,06713,cotia,SP
669ae81880e08f269a64487cfb287169,89160,rio do sul,SC
709e16e2b25c7474d980076c6bfc4806,16200,birigui,SP
276677b5d08786d5dce7c2149dcce48b,31730,belo horizonte,MG
8bb48dc19fccaa8613b6229bf7f452a2,19803,assis,SP
1d4587203296c8f4ad134dc286fa6db0,05101,sao paulo,SP
0c8380b62e38e8a1e6adbeba7eb9688c,37410,tres coracoes,MG
44073f8b7e41514de3b7815dd0237f4f,71070,brasilia,DF
7b07b3c7487f0ea825fc6df75abd658b,02016,sao paulo,SP
99002261c568a84cce14d43fcffb43ea,78095,cuiaba,MT
ba6b4a237f92479743cf0ca06b67a9ac,23550,rio de janeiro,RJ
ad75519a07f039025e83795a4418470f,76500,santa terezinha de goias,GO
ed4acab38528488b65a9a9c603ff024a,08260,sao paulo,SP
75a4764c108403a7a0575140cb22287c,95072,caxias do sul,RS
b18dc380845b24038cfc48006478f099,09951,diadema,SP
ffc470761de7d0232558ba5e786e57b7,07091,guarulhos,SP
4c498c7345e89aebad651544829beca0,06341,carapicuiba,SP
01bcc9d254a0143f0ce9791b960b2a47,76400,uruacu,GO
02f5837340d7eb4f653d676c7256523a,80620,curitiba,PR
f12ff17ad8bbf01ec5c33b17e506649b,03186,sao paulo,SP
229c3efbfb0ea2058de4ccdfbc3d784a,30190,belo horizonte,MG
95ec4458365c4d11f452ccf538377619,13481,limeira,SP
fa40cc5b934574b62717c68f3d678b6d,02310,sao paulo,SP
270d3ef21830ad0ecf3a6c53d08a533a,06380,carapicuiba,SP
89c127985a8b130cfa45c1d36764017a,06016,osasco,SP
8b2492b7ff4468839593fafeed55bad9,24451,sao goncalo,RJ
5e49e3a44bdeb5aab2684258bbd4f525,88330,balenario camboriu,SC
8e34331b7eedd03be4e5d965c1956225,04009,sao paulo,SP
c7246702dc991a06d788120dc7544391,60440,fortaleza,CE
9e6229250fedbe05838fef417b74e7fb,16800,mirandopolis,SP
817245bcc3badd82bbd222e0366951a6,17056,bauru,SP
7178f9f4dd81dcef02f62acdf8151e01,89560,videira,SC
3f995f07c49d0d55a99d5c54957f7d81,06853,itapecerica da serra,SP
a17f621c590ea0fab3d5d883e1630ec6,18055,sorocaba,SP
4deebb3199eeafb282ae33229144f94b,02112,sao paulo,SP
55bb6fe5bebe5012e2d7d9928e1128ff,17052,bauru,SP
ececbfcff9804a2d6b40f589df8eef2b,14407,franca,SP
7d13fca15225358621be4086e1eb0964,14050,ribeirao preto,SP
1b4c3a6f53068f0b6944d2d005c9fc89,88730,sao ludgero,SC
b8555308bfdb4ca1ed54325a58da9a97,09751,sao bernardo do campo,SP
1dc2de47ee26a0a5b12dc14fd6dc0dea,14940,ibitinga,SP
4bcec44888b30ba9001234c534716d3f,09230,santo andre,SP
50c9975695009e5e6473912e83a6d1da,35530,claudio,MG
b14db04aa7881970e83ffa9426897925,18048,sorocaba,SP
31ae0774c17fabd06ff707cc5bde005f,13478,americana,SP
a3e9a2c700480d9bb01fba070ba80a0e,14940,ibitinga,SP
9f505651f4a6abe901a56cdc21508025,04102,sao paulo,SP
7142540dd4c91e2237acb7e911c4eba2,16301,penapolis,SP
a3a38f4affed601eb87a97788c949667,89204,joinville,SC
744dac408745240a2c2528fb1b6028f3,83408,colombo,PR
9b013e03b2ab786505a1d3b5c0756754,11450,vicente de carvalho,SP
38e679b9e0064cd94c6f035707344dae,86010,londrina,PR
79ebd9a61bac3eaf882805ed4ecfa12a,85802,cascavel,PR
5f3ae9136c875522250f8184f253413a,01550,sao paulo,SP
9dd459b29a14bf89d47183cf2cd0e4c7,04716,sao paulo,SP
8e6d7754bc7e0f22c96d255ebda59eba,12233,sao jose dos campos,SP
3ca08eeb8d5595949fed424bd3677742,82510,curitiba,PR
cbd996ad3c1b7dc71fd0e5f5df9087e2,15081,sao jose do rio preto,SP
e067ad2c1c0b48758eb1b5228bcf7a68,11045,santos,SP
081acf3de680d554796c9cf041be7bc2,33200,vespasiano,MG
6d803cb79cc31c41c4c789a75933b3c7,14600,sao joaquim da barra,SP
8b321bb669392f5163d04c59e235e066,01212,sao paulo,SP
76d64c4aca3a7baf218bf93ef7fa768d,80215,curitiba,PR
004c9cd9d87a3c30c522c48c4fc07416,14940,ibitinga,SP
6b89abe95848c850399130d149a39b63,75640,piracanjuba,GO
aced59e9b31ef866a94f9e7f29d8d418,03306,sao paulo,SP
3dc69bf2c42f0568a5c4791ec3fd3745,02880,sao paulo,SP
87d30a6a0cbf89356e49324971ab1d24,02036,sao paulo,SP
aba1721a889e04decc910aa13b768ef4,05729,sao paulo,SP
cab85505710c7cb9b720bceb52b01cee,02252,sao paulo,SP
1fdc574883ef3b33ad41562d93f3a74a,13480,limeira,SP
9a03a4e9eb0b947652fae4f6121a3f5e,15805,catanduva,SP
6cd68b3ed6d59aaa9fece558ad360c0a,31255,belo horizonte,MG
3df020b72d3d44b3af9d110fa3940b65,15704,jales,SP
537eb890efff034a88679788b647c564,20270,rio de janeiro,RJ
955fee9216a65b617aa5c0531780ce60,04782,sao paulo,SP
751bdc4d83a466c7206cd42e8f426b03,09405,ribeirao pires,SP
2f4b0d3b9634b647d4edee577d7ebb7e,02310,sao paulo,SP
ba5daa4041e1f15cdf34b76e3e18a450,04363,sao paulo,SP
ac51cac5e20d69ff485a54746488ef48,14096,ribeirao preto,SP
085f6f7e049c996695fb2074fe38d45e,12020,taubate,SP
5a93f3ab0ef4c84ed5e1b5dbf23978bc,12250,monteiro lobato,SP
d3f39f05462b79a4562d35893a28f159,13730,mococa,SP
b86a47b3366e3b5424a7b225781f4908,37900,passos,MG
0176f73cc1195f367f7b32db1e5b3aa8,14940,ibitinga,SP
ceaec5548eefc6e23e6607c5435102e7,03821,sao paulo,SP
e9bc59e7b60fc3063eb2290deda4cced,87083,maringa,PR
fa1a9dec3a9940c072684a46728bf1fc,88820,icara,SC
b6d44737c043328708f6749c2dbe50bd,09230,santo andre,SP
972d0f9cf61b499a4812cf0bfa3ad3c4,88359,brusque,SC
cfb1a033743668a192316f3c6d1d2671,18110,votorantim,SP
714b9a1332840f257b49f476bea4e341,15910,monte alto,SP
f326006815956455b2859abd58fe7e39,15601,fernandopolis,SP
6a51fc556dab5f766ced6fbc860bc613,17500,marilia,SP
259f7b5e6e482c230e5bfaa670b6bb8f,08550,poa,SP
dd7ddc04e1b6c2c614352b383efe2d36,03471,sao paulo,SP
f457c46070d02cadd8a68551231220dd,87047,maringa,PR
1f50f920176fa81dab994f9023523100,15025,sao jose do rio preto,SP
2b1a40c1daabc6ca280c4b815c101841,35500,divinopolis,MG
d93919c944be9cff128f6c9cb899eacb,13375,mombuca,SP
f7ba60f8c3f99e7ee4042fdef03b70c4,09628,sao bernardo do campo,SP
002100f778ceb8431b7a1020ff7ab48f,14405,franca,SP
4e5725ba188db8252977a4f0227bd462,14092,ribeirao preto,SP
f84a00e60c73a49e7e851c9bdca3a5bb,20756,rio de janeiro,RJ
e5a38146df062edaf55c38afa99e42dc,01233,sao paulo,SP
4de6e4ba574aa9dfdc824bc44dc47fdd,83402,colombo,PR
f45122a9ab94eb4f3f8953578bc0c560,13419,piracicaba,SP
7901646fdd36a55f564ffaf2dbccaaf7,20021,rio de janeiro,RJ
6481e96574816ead57975da2c0f6d80d,18072,sorocaba,SP
48436dade18ac8b2bce089ec2a041202,27277,volta redonda,SP
1554a68530182680ad5c8b042c3ab563,37580,monte siao,MG
04aa0a1c5ce6b222003403a3e11c3cc0,13150,cosmopolis,SP
ede0c03645598cdfc63ca8237acbe73d,14092,ribeirao preto,SP
ef0ace09169ac090589d85746e3e036f,24451,sao goncalo,RJ
918717417d88a9f9ae9735567e6c7682,05547,sao paulo,SP
97e50a621f8e801f4baf69e08687c192,04209,sao paulo,SP
562f8cfc51f265411f487d07e9c40e7f,30575,belo horizonte,MG
52092ddbd3a58c450a4459bf051b2287,17300,dois corregos,SP
87142160b41353c4e5fca2360caf6f92,90230,porto alegre,RS
289cdb325fb7e7f891c38608bf9e0962,31570,belo horizonte,SP
fa1c13f2614d7b5c4749cbc52fecda94,13170,sumare,SP
fbc14c0cf93505ef89f64665ffa4a7b5,14150,serrana,SP
34d1ca11b242c0fee2c834ae8d788566,36415,congonhas,MG
96493fab2fbb13a14d0c0e8772eef5c3,05537,sao paulo,SP
7c1fea10b5b006671d608b1d7c446ec4,18550,boituva,SP
f76a3b1349b6df1ee875d1f3fa4340f0,03275,sao paulo,SP
99eaacc9e6046db1c82b163c5f84869f,14400,franca,SP
d98eec89afa3380e14463da2aabaea72,90010,porto alegre,RS
23613d49c3ac2bd302259e55c06c050c,13660,porto ferreira,SP
93b9a99027bd8bd6af682aff18dd19bf,07600,mairipora,SP
0bf0150d5b9d60d9cd2906003332f085,01547,sao paulo,SP
30829ded4523ab9224b93bc49a62c95f,95360,parai,RS
c3cfdc648177fdbbbb35635a37472c53,80610,curitiba,PR
2138ccb85b11a4ec1e37afbd1c8eda1f,08250,sao paulo,SP
ef30892870c278497523264be1be2241,14801,araraquara,SP
c8b0e2b0a7095e5d8219575d5e7e1181,08598,itaquaquecetuba,SP
38102b031c2a15e54623d711bfc753d3,62170,mucambo,CE
391fc6631aebcf3004804e51b40bcf1e,14940,ibitinga,SP
