order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
000e562887b1f2006d75e0be9558292e,1,5ed9eaf534f6936b51d0b6c5e4d5c2e9,8cbac7e12637ed9cffa18c7875207478,2018-02-28 12:08:37,25.00,16.11
002af7fa9eb99d1456bceb6a13d6fc0b,1,c2ece64199af7a53793ed9612a89a8cd,6c7d50c24b3ccd2fd83b44d8bb34e073,2018-02-22 19:46:50,88.34,21.11
0035e6b7ade84b3f5b86bd49814793df,1,71a5f1c2a5fd9889ef26b5ac22aec9c6,537eb890efff034a88679788b647c564,2018-02-27 03:31:08,19.90,14.10
0040a56893444cb56cba7cfe2225e34e,1,3f14d740544f37ece8a9e7bc8349797e,f457c46070d02cadd8a68551231220dd,2018-01-29 00:15:10,84.90,34.39
0057199db02d1a5ef41bacbf41f8f63b,1,41eee23c25f7a574dfaf8d5c151dbb12,e5a3438891c0bfdb9394643f95273d8e,2018-01-25 09:07:51,20.30,16.79
005a1dded353107dbabf8ffc83a20365,1,7e6c4a0bf900e259f50ba63331fd2785,6560211a19b47992c3666cc44a7e94c0,2018-02-15 18:10:50,75.00,14.28
0071ee2429bc1efdc43aa3e073a5290e,1,00ffe57f0110d73fd84d162252b2c784,53e4c6e0f4312d4d2107a8c9cddf45cd,2018-01-26 14:17:41,179.98,12.46
0081ab2c99dc85945c28926b77dc6960,1,e1c0a39b7f806727ea5121c60035ed3c,96493fab2fbb13a14d0c0e8772eef5c3,2018-02-20 23:31:20,269.00,10.70
008dc31c0ae7121f2791953ae5f532c3,1,d5f1f35337b832cc42168c69511e311d,6a8b085f816a1f75f92dbac6eb545f8f,2018-01-11 11:33:49,28.50,34.15
00ac05fe0fc047c54418098eb64e3aaa,1,78efe838c04bbc568be034082200ac20,0241d4d5d36f10f80c644447315af0bd,2018-02-22 14:30:55,99.90,23.57
00b30bb163474583c14db1689259cf4d,1,3552627a68384dc559f0fd4cce173269,3c487ae8f8d7542beff5788e2e0aea83,2018-02-06 14:13:31,189.90,26.61
00b402e8a76d3da83714c52d3977cc2d,1,72d6074ef5c81ec3102b3f2a052c5f49,edb1ef5e36e0c8cd84eb3c9b003e486d,2018-01-05 18:11:33,139.65,26.26
00b4846d477a7baf5d4e47970bc08c7e,1,e5bd04e8e3cb77f1a49404d588d3e528,f7ccf836d21b2fb1de37564105216cc1,2018-01-29 03:52:51,31.90,16.11
00eef7fe9e315a85d1a61a50cccb2494,1,53759a2ecddad2bb87a079a1f1519f73,1f50f920176fa81dab994f9023523100,2018-02-15 13:28:18,49.90,13.37
010fadb12341d8253d920362fc8f7a16,1,8d7ab3701456fdbfe2526636ce15327a,daeb5653dd96c1b11860f72209795012,2018-02-15 17:35:37,39.90,14.10
01144cadcf64b6427f0a6580a3033220,1,b8a0d73b2a06e7910d9864dccdb0cda2,620c87c171fb2a6dd6e8bb4dec959fc6,2018-02-08 00:15:47,59.90,24.70
01144cadcf64b6427f0a6580a3033220,2,9351b1e4334769dc0abe871ee3c7abc3,abcd2cb37d46c2c8fb1bf071c859fc5b,2018-02-08 00:15:47,62.00,24.70
013bc77d3ca5fba084a241fdcb307393,1,4f2c53c9a1a7a00a247b351c1fdbed13,b2479f944e1b90cf8a5de1bbfde284d6,2018-01-23 00:37:23,21.99,15.10
013d92e415d1de7bf3b3b706f1b6d292,1,8317b177579dd27ff068b83205e2169b,4869f7a5dfa277a7dca6462dcf3b52b2,2018-02-01 14:22:15,188.00,16.07
014e78d1239f19fdcafd760d3e52f923,1,394b16cd32e9f883365dd7ebac4edbe0,8b321bb669392f5163d04c59e235e066,2018-02-01 11:01:17,14.40,14.10
015e6682b50c824bfdab6b866f937936,1,d36d9ea1497c1e294498cc39df08a687,c6bda72e4dbf5c5866b13cb1810c6d03,2018-01-31 02:38:30,159.90,8.37
016a938f2b34aa5ef05027fc83f5b81b,1,304104a478e3a605db6072a22e4ee228,31da954dc0855f2495c6310f70a2f931,2018-01-29 21:59:51,299.00,22.58
016a938f2b34aa5ef05027fc83f5b81b,2,304104a478e3a605db6072a22e4ee228,31da954dc0855f2495c6310f70a2f931,2018-01-29 21:59:51,299.00,22.58
017b84f6bee0e4287eb8a8c9f5df549e,1,c9c6fde711572c1ad99ca12728c6af00,562fc2f2c2863ab7e79a9e4388a58a14,2018-02-20 00:07:40,29.99,34.15
01946da9e2db8bab61d79296c037ee1f,1,93c902b021a9e594f658ab1b0351602a,2e90cb1677d35cfe24eef47d441b7c87,2018-01-11 18:06:39,97.90,16.94
01af7745a283aeb0f0754495c4b51ac7,1,423a6644f0aa529e8828ff1f91003690,e59aa562b9f8076dd550fcddf0e73491,2018-03-07 11:14:38,465.00,34.69
01b703d8365608f2b01ed9c076d0b3dc,1,81efaa22f3868f00c8ef1879cccc3c03,897060da8b9a21f655304d50fd935913,2018-01-15 17:08:23,46.55,12.69
