order_id,payment_sequential,payment_type,payment_installments,payment_value
8ac09207f415d55acff302df7d6a895c,1,credit_card,4,244.15
ad4098a257676ea4d394fb3bbbf36ca3,1,credit_card,2,68.49
fc662bafa52d2ef16078f6f6141009d6,1,boleto,1,90.05
723e462ce1ee50e024887c0b403130f3,1,credit_card,1,13.80
f49cd89d6dad6dd5759ecf15dfe4bb19,1,boleto,1,47.00
49d3db2a02106c24d6ef800bd8ad5546,1,boleto,1,90.17
14c0c0bebe2cd50fb1dbdee84fbae03a,1,credit_card,1,180.55
aa600269bffea363cca75ad2d1908903,1,boleto,1,93.26
0a9716da94d89975e6637874280aadad,1,credit_card,10,165.96
31be75ffd0c4b58ca777e72cd2352b14,1,boleto,1,95.99
c1310d06e793969c9dfc72a433db577f,1,credit_card,3,86.73
d51cbac21a49941976292ba004bf4165,1,credit_card,6,114.34
edb14cad806f8ea19a08ed06c26726a2,1,credit_card,2,31.38
6c721c8ce1b433e68655575af4955976,1,credit_card,1,67.70
d3f44296d90a42d3ec4b52b18654e87a,8,voucher,1,3.98
c453fb0ec44f618a32abcad5c873d06f,1,credit_card,3,77.64
34dedd5cb5e0f12df565171392540a8f,1,credit_card,1,22.29
933cae52f81a96867c679e5251c0a7c5,1,credit_card,5,88.49
ccb78ed7a1acba9d251c8626f13097f5,1,credit_card,3,57.48
3e47a8cc66024053901d7313a7d2a0b7,1,credit_card,2,330.40
d75cb3755738c4ae466303358f97bc55,1,boleto,1,37.69
7f058780efeab68414ecad1c0c43d0c0,1,credit_card,8,396.35
9bb824ec73ee38dbbc585f3bba4b34ac,1,credit_card,1,171.53
9b92d4432c1758cd4215f3fdb1d623a3,1,credit_card,4,186.36
1475652ad485c6469bd02393c70fdaa9,1,credit_card,2,81.73
055f84fd2ebf314ebec85f8e1312f4f4,1,credit_card,2,185.84
fc6e9a6cd6985d3d454cccfdfdf66931,2,voucher,1,103.59
6f393015477564624446a2b4c948c0f0,1,credit_card,4,40.43
c6ee046b85d59deed2e71242e970d437,1,credit_card,4,119.48
e415a718c8f2f0372ec699fec852fb68,1,credit_card,2,89.88
6cc24bf6c628c261d2f9f0f7eef52a93,1,credit_card,2,159.80
d9f8510c453819ec4a9eb91851ea5fc4,1,boleto,1,186.27
5373c26702420c0f842871e489365e20,2,credit_card,1,12.59
4be15c7abcf23a32b92fdd6fe0859ed0,1,voucher,1,41.11
